"job_title","company_name","job_city","job_state","min_salary_k","max_salary_k","avg_salary_k","rating","company_age","python_yn","sql_yn","excel_yn","tableau_yn","industry","sector","revenue"
"Data Scientist","Blackstone Talent Group","San Francisco","CA",92,155,123,"3.5",26,1,0,0,0,"Consulting","Business Services","$25 to $50 million (USD)"
"Data Scientist - TS/SCI Required","Phoenix Operations Group","Baltimore","MD",92,155,123,"5.0",13,1,0,0,0,"IT Services","Information Technology","$1 to $5 million (USD)"
"Data Scientist","Sophinea","Chantilly","VA",92,155,123,"-1",NULL,0,1,0,0,"-1","-1","Unknown / Non-Applicable"
"Senior Data Scientist","Maxar Technologies","Herndon","VA",92,155,123,"3.5",NULL,1,1,1,0,"Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)"
"Data Scientist","Moxie Software","Bellevue","WA",92,155,123,"3.0",25,1,0,0,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Scientist(s)/Machine Learning Engineer","Blue Horizon Tek Solutions","New York","NY",92,155,123,"5.0",37,1,0,1,0,"Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Data Scientist","Unicom Technologies INC","Chicago","IL",92,155,123,"4.7",NULL,1,1,1,0,"IT Services","Information Technology","Unknown / Non-Applicable"
"Data Engineer","Americo Life","Kansas City","MO",92,155,123,"3.3",32,1,1,1,0,"Insurance Carriers","Insurance","$100 to $500 million (USD)"
"Data Scientist","Tokio Marine HCC","Houston","TX",92,155,123,"3.3",50,1,0,0,0,"Insurance Carriers","Insurance","Unknown / Non-Applicable"
"Data Scientist","CACI International","Chantilly","VA",92,155,123,"3.5",62,0,1,1,0,"Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)"
"AI/ML - Machine Learning Scientist, Siri Understanding","Apple","Santa Clara","CA",92,155,123,"4.1",48,1,0,0,0,"Computer Hardware & Software","Information Technology","$10+ billion (USD)"
"Data Scientist","Maxar Technologies","Herndon","VA",92,155,123,"3.5",NULL,1,1,0,1,"Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)"
"ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR","Southwest Research Institute","Oklahoma City","OK",92,155,123,"3.9",77,1,0,1,0,"Research & Development","Business Services","$500 million to $1 billion (USD)"
"Data Scientist","Compass Consulting Group","Thousand Oaks","CA",92,155,123,"4.7",16,1,1,0,0,"Consulting","Business Services","Unknown / Non-Applicable"
"Data Science Software Engineer","Klaviyo","Boston","MA",92,155,123,"4.8",12,1,0,0,0,"Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Scientist / Group Lead, Cancer Biology","Monte Rosa Therapeutics","Cambridge","MA",92,155,123,"-1",NULL,0,0,1,0,"-1","-1","-1"
"AI Ops Data Scientist","AstraZeneca","Gaithersburg","MD",92,155,123,"4.0",111,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Senior Data Scientist","GutCheck","Denver","CO",105,167,136,"3.8",15,0,0,0,0,"Advertising & Marketing","Business Services","$10 to $25 million (USD)"
"Sr. ML/Data Scientist - AI/NLP/Chatbot","Juniper Networks","Cupertino","CA",105,167,136,"3.8",28,1,0,1,0,"Telecommunications Services","Telecommunications","$2 to $5 billion (USD)"
"Data Scientist","Hexagon US Federal","Lexington Park","MD",105,167,136,"2.7",14,0,0,1,0,"Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable"
"Data Scientist","Comtech Global Inc","Washington","DC",105,167,136,"4.0",NULL,1,1,0,1,"Health, Beauty, & Fitness","Consumer Services","$5 to $10 million (USD)"
"Data Scientist","Berico Technologies","Fort Belvoir","VA",105,167,136,"-1",NULL,0,0,1,0,"-1","-1","-1"
"Data Scientist","Kehe Food Distributors","Naperville","IL",105,167,136,"-1",NULL,1,1,1,1,"-1","-1","-1"
"Data Scientist","Aveshka, Inc.","Washington","DC",105,167,136,"3.8",14,1,1,1,0,"IT Services","Information Technology","$10 to $25 million (USD)"
"Data Scientist","Perspecta","Adelphi","MD",105,167,136,"3.2",6,1,0,0,0,"Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable"
"Data Scientist","Pactera Edge","Redmond","WA",105,167,136,"-1",NULL,1,1,0,0,"-1","-1","-1"
"Data Scientist","Qurate Retail Group","West Chester","PA",105,167,136,"3.6",NULL,1,1,1,1,"Other Retail Stores","Retail","Unknown / Non-Applicable"
"Data Scientist","SolutionIT, Inc.","Edison","NJ",105,167,136,"4.4",NULL,0,0,0,0,"-1","-1","Unknown / Non-Applicable"
"Data Scientist","A-Line Staffing Solutions","Durham","NC",105,167,136,"4.1",20,1,1,0,0,"Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Data Scientist","Clear Ridge Defense","Quantico","VA",105,167,136,"-1",NULL,1,1,0,0,"-1","-1","Unknown / Non-Applicable"
"Data Scientist","Criterion Systems, Inc.","Vienna","VA",105,167,136,"3.8",19,1,1,1,0,"IT Services","Information Technology","$50 to $100 million (USD)"
"Data Scientist","Foundation Medicine","Boston","MA",105,167,136,"4.0",14,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)"
"Data Scientist","TRANZACT","Fort Lee","NJ",105,167,136,"3.6",35,1,1,1,1,"Advertising & Marketing","Business Services","Unknown / Non-Applicable"
"Data Scientist","JKGT","San Francisco","CA",105,167,136,"-1",NULL,0,0,0,0,"-1","-1","-1"
"Data Scientist","AccessHope","Irwindale","CA",105,167,136,"-1",NULL,1,1,1,1,"-1","-1","-1"
"Data Scientist","ChaTeck Incorporated","San Francisco","CA",105,167,136,"5.0",NULL,1,1,0,0,"Advertising & Marketing","Business Services","$1 to $5 million (USD)"
"Data Scientist","1-800-Flowers","New York","NY",105,167,136,"2.7",48,1,1,1,1,"Wholesale","Business Services","$1 to $2 billion (USD)"
